,SKU,Product_Name,Category,main_category,sub_category,Is_Bridal,Has_Discount,is_bestseller,Definition,Product_URL,Extra_Detail_on_Product,Delivery_Time,NeckPiece_Type,Earing_Type,Haaram_Length,Earring_Length,Dome_Width,Available_Options,Availability_Rope_Addon,Availability_Chain_Addon,Availability_Size_2.4,Availability_Size_2.6,Availability_Size_2.8,Availability_Size_2.10,Availability,Size_2.4_availability,Size_2.6_availability,Size_2.8_availability,Size_2.10_availability,Any_Size_Available,Rope_Cost,Chain_Cost,Size_2.4_Cost,Size_2.6_Cost,Size_2.8_Cost,Size_2.10_Cost,Base_Price_Without_Addon,Discounted_Base_Price_Without_Addon,Final_Price_with_Rope_Addon,Final_Price_with_Chain_Addon,american,antique,indo,kerala,mediterranean,traditional,royal,victorian,vintage,western,work,party,bold,invisible,goddess,floral,coin,krishna,lakshmi,maangaz,peacock,tamara,temple,coral,beaded,emerald,pearl,ruby,stoned
504,M91512,Selvi nagas haaram,"Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,"antique gold finished goddess lakshmi , cluster pearl and golden beaded bridal long haaram set comes with the jhumkas",https://madeforhers.in/product/selvi-nagas-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.9,0.8,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,3849,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
505,M56346,Serena victoria haaram version 2 – Guest look 2,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,0,0,antique gold finished exquisite heavy stone worked floral desighned long haaram set,https://madeforhers.in/product/serena-victoria-haaram-version-2-3/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.3,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2289,No Discount,2289,2349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
506,M74564,Serena victoria haaram version 2 -royal,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,0,0,antique gold finished exquisite heavy stone worked floral desighned long haaram set,https://madeforhers.in/product/serena-victoria-haaram-version-2/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.2,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2289,No Discount,2289,2349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
507,M65983,Serena victorian long haaram,"Golden Jewellery, Haaram, Re Stocks",Golden Jewellery,Haaram,0,1,0,victorian antique black gold finished goddess lakshmi and parrot  designed heavy stoned worked long  haaram set,https://madeforhers.in/product/serena-victorian-long-haaram-2/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,10,1.5,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2109,2049,2049,2109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
508,M34484,Serena victorian long haaram – Guest look 2,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,1,0,victorian antique black gold finished goddess lakshmi and parrot  designed heavy stoned worked long  haaram set,https://madeforhers.in/product/serena-victorian-long-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,10,1.5,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2109,2049,2049,2109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
509,M34259,sevvandhi – lakshmi coin kempu haaram – coinn,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,0,0,antique gold finished folral designed goddess lakshmi coin kempu haaram,https://madeforhers.in/product/sevvandhi-lakshmi-coin-kempu-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,9.5,0.8,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,1699,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
510,M16216,Shanmugha layered haaram,"Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished real gold inspired tri-layered peacock designed 3d long haaram set,https://madeforhers.in/product/shanmugha-layered-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,12.2,2.5,1.6,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,5919,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
511,M57159,shubham temple designer haaram- exclusive,"Bridal Wears, Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,1,0,0,antique gold finished goddess Lakshmi and peacock designed real gold inspired kempu stone worked bridal haaram set with jhumkies,https://madeforhers.in/product/shubham-temple-designer-haaram/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,4699,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
512,M63395,Sundari temple designer haaram,"Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished goddess Lakshmi kundan stone worked peacock designed majestic temple designer long haaram set comes with the statement bold bridal jhumkas,https://madeforhers.in/product/sundari-temple-designer-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.7,1.2,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,4099,No Discount,4099,4159,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
513,M37939,thirupura lakshmi coin haaram- Temple desighner,"Bridal Wears, Golden Jewellery, Haaram",Golden Jewellery,Haaram,1,0,0,antique gold finished goddess lakshmi coin designed 3D pattern long haaram set,https://madeforhers.in/product/thirupura-lakshmi-coin-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,8.5,1,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2789,No Discount,2789,2849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
